"username","script_id","script_title","step_id","step_index","step_type","prompt","requirement","transcript","is_answered","word_count","char_count","module_total_steps","module_answered_steps","module_completed","module_completion_pct","updated_at","sun_sign","moon_sign","venus_sign","casa_cuatro_sign","descendente_sign","nodo_lunar_sign","casa_solar","casa_karma"
"Sofia_Astro","introduccion","Introducción","[1] Objetivo","1","multiple-choice","¿Cuál es tu objetivo para este curso?","El usuario debe seleccionar uno de los objetivos.","Explorar mi carta natal y entender mis patrones emocionales profundos","1","10","69","3","3","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","introduccion","Introducción","[2] Sound Check","2","sound-check","Probando el sonido","El usuario debe verificar que escucha el sonido.","Sí, el sonido se escucha fuerte y claro","1","8","39","3","3","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","introduccion","Introducción","[3] Mic Check","3","mic-check","Ahora probemos tu micrófono. Por favor, di algo para verificar que te escucho.","El usuario debe hablar para probar el micrófono.","Comprendido, el micrófono está funcionando perfectamente","1","6","56","3","3","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","identidad","Identidad","[2] Cualidades","1","default","¿Cuáles de las características de tu signo tienes?","El usuario debe identificar características de su signo que posee.","Mis mejores cualidades son mi valentía ante los retos, mi sinceridad directa y la autenticidad con la que me expreso ante los demás.","1","23","132","6","6","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","identidad","Identidad","[3] Armonía","2","default","¿Cuáles están funcionando para la armonía de la relación?","El usuario debe explicar qué características ayudan a la armonía de la relación.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cuáles están funcionando para la armonía de la relación?","1","16","109","6","6","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","identidad","Identidad","[4] Expresión","3","default","¿De las características positivas que no tienes? ¿Porqué crees que no las estas pudiendo expresar?","El usuario debe reflexionar sobre las características positivas ausentes y por qué.","Respuesta detallada de Sofia_Astro para la pregunta ¿De las características positivas que no tienes? ¿Porqué crees que no las estas pudiendo expresar?","1","22","150","6","6","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","identidad","Identidad","[5] Deterioro","4","default","¿Cuáles de tus características negativas están contribuyendo a deteriorar la relación?","El usuario debe identificar características negativas que afectan la relación.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cuáles de tus características negativas están contribuyendo a deteriorar la relación?","1","18","138","6","6","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","identidad","Identidad","[6] Admiración","5","default","¿Hay alguna otra cualidad que tu pareja admira, que no se haya mencionado?","El usuario debe mencionar otras cualidades que su pareja admire.","Respuesta detallada de Sofia_Astro para la pregunta ¿Hay alguna otra cualidad que tu pareja admira, que no se haya mencionado?","1","20","126","6","6","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","identidad","Identidad","[7] Siguiente paso","6","default","!Felicidades! Vas por muy buen camino. A continuación hablaremos sobre tus emociones.","Final de la identidad.","Respuesta detallada de Sofia_Astro para la pregunta !Felicidades! Vas por muy buen camino. A continuación hablaremos sobre tus emociones.","1","19","137","6","6","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","emociones","Emociones","[1] Eventos","1","default","¿Cuáles son los eventos que más te afectan?","El usuario debe identificar los eventos que más le afectan.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cuáles son los eventos que más te afectan?","1","15","95","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","emociones","Emociones","[2] Reacción","2","default","¿Cómo reaccionas emocionalmente en esos situaciones?","El usuario debe describir su reacción emocional.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cómo reaccionas emocionalmente en esos situaciones?","1","13","104","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","emociones","Emociones","[3] Necesidades","3","default","¿Cuáles son tus necesidades emocionales?","El usuario debe identificar sus necesidades emocionales.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cuáles son tus necesidades emocionales?","1","12","92","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","emociones","Emociones","[4] Insatisfacción","4","default","¿Como te sientes cuando no estás satisfaciendo tus necesidades emocionales?","El usuario debe describir sus sentimientos ante la insatisfacción emocional.","Respuesta detallada de Sofia_Astro para la pregunta ¿Como te sientes cuando no estás satisfaciendo tus necesidades emocionales?","1","17","127","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","emociones","Emociones","[5] Problemas","5","default","¿Cuales emociones causan mayores problema en tu relación?","El usuario debe identificar emociones problemáticas en la relación.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cuales emociones causan mayores problema en tu relación?","1","15","109","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","emociones","Emociones","[6] Mejora","6","default","¿Cómo te gustaría mejorar?","El usuario debe expresar cómo desea mejorar.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cómo te gustaría mejorar?","1","11","78","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","emociones","Emociones","[7] Siguiente paso","7","default","!Felicidades! Vas por muy buen camino. A continuación hablaremos sobre tu forma de amar.","Final de emociones.","Respuesta detallada de Sofia_Astro para la pregunta !Felicidades! Vas por muy buen camino. A continuación hablaremos sobre tu forma de amar.","1","21","140","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","venus","Venus","[1] Felicidad","1","default","¿Para ti qué es la felicidad?","El usuario debe definir qué es la felicidad.","Respuesta detallada de Sofia_Astro para la pregunta ¿Para ti qué es la felicidad?","1","13","81","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","venus","Venus","[2] Cariño","2","default","¿Cómo demuestras cariño a tu pareja?","El usuario debe describir cómo demuestra cariño.","Respuesta detallada de Sofia_Astro para la pregunta ¿Cómo demuestras cariño a tu pareja?","1","13","88","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","venus","Venus","[3] Recibir","3","default","¿Que muestras de cariño valoras mas?","El usuario debe identificar qué muestras de cariño valora más.","Respuesta detallada de Sofia_Astro para la pregunta ¿Que muestras de cariño valoras mas?","1","13","88","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
"Sofia_Astro","venus","Venus","[4] Influencia","4","default","¿Como influye tu forma de amar en tu relación de pareja?","El usuario debe reflexionar sobre la influencia de su forma de amar.","Respuesta detallada de Sofia_Astro para la pregunta ¿Como influye tu forma de amar en tu relación de pareja?","1","18","108","7","7","1","100.00","2025-02-28T18:00:00.000Z","Aries","Leo","Tauro","Cáncer","Libra","Acuario","Casa I","Casa VIII"
